timestamp,area_pixeles,temp_min,temp_max,temp_avg
1772662495.8430622,14248,11.0,101.0,62.55
1772662495.8450613,1162,14.0,57.0,38.27
1772662495.8460634,1075,15.0,56.0,35.41
1772662495.8485641,934,11.0,48.0,35.42
1772662495.8495634,1400,13.0,67.0,49.91
1772662495.8520525,829,11.0,76.0,43.03
1772662495.8530588,1543,10.0,59.0,35.45
1772662495.856222,4346,39.0,103.0,81.78
1772662495.858223,983,33.0,81.0,60.92
1772662495.8602252,3660,11.0,77.0,44.87
1772662495.8652291,2922,24.0,83.0,64.7
1772662495.8722296,17942,10.0,102.0,68.17
1772662495.8826206,4925,10.0,60.0,42.69
1772662495.9480708,2146,23.0,104.0,79.69
1772662495.950916,1156,33.0,99.0,75.89
1772662495.9524252,1345,2.0,74.0,38.9
1772662495.9524252,2037,0.0,62.0,11.95
1772662495.9551506,1610,8.0,76.0,46.25
1772662495.9571633,1158,0.0,64.0,21.69
1772662495.9571633,4115,7.0,89.0,58.69
1772662495.9604592,3386,12.0,62.0,39.88
1772662496.0071895,5177,4.0,108.0,51.22
1772662496.009197,2109,2.0,77.0,44.4
1772662496.010706,843,55.0,75.0,66.49
1772662496.0127273,1741,19.0,61.0,48.94
1772662496.0127273,1324,67.0,98.0,82.62
1772662496.0147357,2605,0.0,96.0,55.79
1772662496.017285,1003,27.0,57.0,48.78
1772662496.017285,1343,16.0,68.0,43.15
1772662496.017285,1128,13.0,56.0,38.89
1772662496.017285,841,28.0,83.0,65.86
1772662496.017285,1548,16.0,85.0,41.9
1772662496.0251908,1389,55.0,96.0,72.93
1772662496.0251908,1066,7.0,71.0,52.57
1772662496.0277824,3690,12.0,95.0,63.86
1772662496.0298848,7037,50.0,119.0,94.07
1772662496.0318913,1040,1.0,88.0,57.59
1772662496.0339,4281,15.0,117.0,92.63
1772662496.0339,3726,14.0,91.0,50.39
1772662496.0359118,1709,63.0,90.0,78.98
1772662496.0379188,998,88.0,103.0,97.27
1772662496.039968,1753,0.0,57.0,12.62
1772662496.039968,3176,8.0,97.0,68.18
1772662496.039968,4144,0.0,72.0,18.89
1772662496.0461862,2659,0.0,38.0,8.77
1772662496.0990038,1438,0.0,59.0,11.8
1772662496.2202597,2277,11.0,95.0,61.61
1772662496.2212672,1713,14.0,62.0,41.16
1772662496.3289328,280146,0.0,206.0,84.58
1772662496.5066957,851,44.0,172.0,120.07
1772662496.5111113,1750,29.0,169.0,112.12
1772662496.5131326,1504,26.0,120.0,82.24
1772662496.6165981,1775,57.0,183.0,124.02
1772662496.6165981,1295,63.0,175.0,111.88
1772662496.6165981,926,41.0,119.0,81.13
1772662496.6165981,1081,94.0,182.0,146.43
1772662496.6251533,1440,104.0,198.0,155.61
1772662496.626901,1459,41.0,170.0,96.88
1772662496.6300669,1040,32.0,141.0,72.13
1772662496.6300669,3610,29.0,172.0,117.25
1772662496.6334333,4071,10.0,163.0,90.72
1772662496.6334333,1953,8.0,109.0,59.73
1772662497.0145423,1527,57.0,191.0,137.43
1772662497.0145423,846,45.0,169.0,109.58
1772662497.0204186,813,48.0,147.0,89.4
1772662497.0204186,1355,21.0,113.0,78.57
1772662497.1280956,1353,67.0,166.0,115.54
1772662497.1316867,2179,63.0,172.0,120.48
1772662497.1334324,1173,98.0,182.0,147.04
1772662497.136451,2072,93.0,193.0,157.74
1772662497.1413102,1760,42.0,162.0,97.48
1772662497.1463594,1926,11.0,146.0,64.22
1772662497.1484022,4738,32.0,166.0,121.4
1772662497.1514206,4693,0.0,164.0,90.93
1772662497.153432,928,29.0,106.0,72.86
1772662497.21444,3299,73.0,171.0,141.08
1772662497.21444,1241,120.0,175.0,156.8
1772662497.21444,1256,90.0,163.0,129.81
1772662497.2226605,1606,39.0,118.0,71.67
1772662497.2250633,6665,13.0,171.0,102.6
1772662497.2250633,3225,15.0,159.0,77.26
1772662497.2280247,4083,53.0,152.0,106.72
1772662497.2307625,2575,52.0,148.0,97.36
1772662497.2307625,1030,36.0,88.0,58.61
1772662497.2327712,3697,2.0,154.0,68.73
1772662497.2327712,8751,33.0,190.0,98.83
1772662497.2364492,5829,1.0,155.0,64.93
1772662497.3092787,15877,46.0,206.0,150.13
1772662497.3092787,1760,57.0,129.0,87.83
1772662497.311795,2109,37.0,136.0,95.12
1772662497.3138206,972,120.0,160.0,138.44
1772662497.3155665,1393,79.0,179.0,127.84
1772662497.317573,1119,97.0,171.0,124.46
1772662497.317573,2189,46.0,135.0,85.4
1772662497.3195813,1125,139.0,179.0,155.28
1772662497.3215892,1109,141.0,176.0,160.0
1772662497.3215892,4106,40.0,142.0,69.01
1772662497.3235974,919,106.0,148.0,132.36
1772662497.3256054,14254,28.0,182.0,104.91
1772662497.3276289,12431,26.0,204.0,140.27
1772662497.3293095,22755,1.0,179.0,106.32
1772662497.4174414,15234,32.0,179.0,107.07
1772662497.4174414,1796,44.0,149.0,91.62
1772662497.4252193,1412,52.0,119.0,90.43
1772662497.4252193,1328,108.0,175.0,140.78
1772662497.4252193,2677,109.0,176.0,151.22
1772662497.4252193,1018,24.0,119.0,86.27
1772662497.4323757,1583,56.0,162.0,94.55
1772662497.4323757,1750,140.0,198.0,172.72
1772662497.4358745,1087,164.0,198.0,182.38
1772662497.4379423,3454,16.0,198.0,132.45
1772662497.4379423,2337,42.0,134.0,85.13
1772662497.4379423,3420,55.0,164.0,108.63
1772662497.4379423,5536,7.0,141.0,57.72
1772662497.4442215,9687,27.0,171.0,125.44
1772662497.446823,10740,4.0,184.0,88.86
1772662497.446823,5661,5.0,122.0,62.08
1772662497.5133114,818,111.0,182.0,152.45
1772662497.5140965,1157,12.0,116.0,55.64
1772662497.5140965,5042,4.0,151.0,55.49
1772662497.5185306,3015,1.0,92.0,41.55
1772662497.6058452,5027,61.0,200.0,159.98
1772662497.6058452,969,87.0,179.0,133.81
1772662497.6058452,1025,98.0,203.0,141.74
1772662497.6119714,1302,29.0,140.0,83.35
1772662497.6139941,893,40.0,147.0,100.82
1772662497.6139941,943,109.0,184.0,142.25
1772662497.6139941,2570,29.0,150.0,70.55
1772662497.6182957,816,102.0,199.0,163.63
1772662497.6203024,3104,34.0,164.0,91.35
1772662497.6220472,5335,28.0,185.0,125.59
1772662497.6240554,11057,15.0,181.0,109.05
1772662497.7169862,5704,48.0,182.0,114.81
1772662497.7169862,1226,45.0,120.0,79.21
1772662497.7169862,1191,94.0,185.0,146.8
1772662497.725627,1282,99.0,198.0,151.95
1772662497.7273717,2466,29.0,168.0,103.54
1772662497.7288961,1256,28.0,146.0,67.63
1772662497.7307477,8128,29.0,182.0,129.81
1772662497.7307477,4683,5.0,159.0,89.97
1772662497.7307477,2609,9.0,111.0,57.89
1772662497.8136632,1291,83.0,193.0,156.76
